day,day4,q_vph,tt_obs_min,tt_pred_agg_min
07-25,0725,168,0.20535714285714285,0.19717766846763987
07-25,0725,168,0.2078313253012048,0.19717766846763987
07-25,0725,171,0.20689655172413793,0.19717964338031557
07-25,0725,183,0.2081447963800905,0.19718830522902034
07-25,0725,195,0.20720720720720726,0.19719825733675245
07-25,0725,189,0.2075187969924812,0.19719311408519258
07-25,0725,240,0.2090909090909091,0.1972486972305723
07-25,0725,237,0.20566318926974667,0.1972446269169284
07-25,0725,318,0.20597014925373136,0.19739735033228703
07-25,0725,312,0.20566318926974667,0.1973826771150536
07-25,0725,273,0.2065868263473054,0.1973010135991129
07-25,0725,369,0.20414201183431954,0.19754750180369066
07-25,0725,384,0.20175438596491227,0.1976010246168032
07-25,0725,363,0.2020497803806735,0.19752733999436617
07-25,0725,534,0.19913419913419916,0.19842371988134258
07-25,0725,519,0.2038404726735598,0.19831485047652894
07-25,0725,558,0.19714285714285715,0.19861187693125237
07-25,0725,753,0.19246861924686193,0.2008824387097271
07-25,0725,747,0.19519094766619519,0.2007903221771597
07-25,0725,795,0.1985611510791367,0.2015719283456903
07-25,0725,843,0.20087336244541487,0.20246013489545997
07-25,0725,843,0.2020497803806735,0.20246013489545997
07-25,0725,918,0.20353982300884957,0.2040785425319855
07-25,0725,867,0.20444444444444446,0.2029464670314615
07-25,0725,999,0.20627802690582958,0.2061705782944478
07-25,0725,1014,0.2094081942336874,0.20659993584162398
07-25,0725,1107,0.209726443768997,0.2095756726997428
07-25,0725,1134,0.2084592145015106,0.21054570289136743
07-25,0725,1110,0.2094081942336874,0.20968101813581969
07-25,0725,1317,0.19686162624821685,0.21851061876446484
07-25,0725,1065,0.20597014925373136,0.20816330425534357
07-25,0725,1131,0.2103658536585366,0.21043546899666113
07-25,0725,1311,0.2132921174652241,0.21820858533882298
07-25,0725,1359,0.2126348228043143,0.22070767232370486
07-25,0725,1317,0.21495327102803738,0.21851061876446484
07-25,0725,1395,0.2152886115444618,0.22270893714582138
07-25,0725,1500,0.215625,0.22919987996202476
07-25,0725,1467,0.21495327102803738,0.2270519434104388
07-25,0725,1527,0.2132921174652241,0.23103336084518372
07-25,0725,1470,0.21100917431192662,0.22724304368163936
07-25,0725,1575,0.22115384615384617,0.2344664928824253
07-25,0725,1623,0.2094081942336874,0.2381284956463136
07-25,0725,1437,0.212962962962963,0.22518604753582075
07-25,0725,1605,0.215962441314554,0.23672792870789383
07-25,0725,1623,0.21939586645469,0.2381284956463136
07-25,0725,1596,0.2163009404388715,0.23603999745630827
07-25,0725,1446,0.21766561514195587,0.22573725778873022
07-25,0725,1638,0.21974522292993634,0.23932104166467863
07-25,0725,1644,0.21870047543581617,0.23980458523809076
07-25,0725,1545,0.21939586645469,0.2322944591300712
07-25,0725,1590,0.21766561514195587,0.23558591655111433
07-25,0725,1557,0.22294022617124398,0.23315266614769264
07-25,0725,1419,0.22009569377990432,0.2241053633854701
07-25,0725,1473,0.22115384615384617,0.22743497162352702
07-25,0725,1641,0.22585924713584288,0.23956234545626878
07-25,0725,1542,0.22885572139303484,0.2320820996399701
07-25,0725,1620,0.2292358803986711,0.23789276765356235
07-25,0725,1551,0.22330097087378645,0.2327218050284985
07-25,0725,1512,0.22585924713584288,0.2300062125879047
07-25,0725,1584,0.2319327731092437,0.23513544980105427
07-25,0725,1539,0.22772277227722773,0.23187061325751737
07-25,0725,1551,0.22366288492706643,0.2327218050284985
07-25,0725,1470,0.22186495176848875,0.22724304368163936
07-25,0725,1374,0.22622950819672133,0.22152807960304158
07-25,0725,1461,0.22475570032573292,0.22667221833008333
07-25,0725,1359,0.22549019607843138,0.22070767232370486
07-25,0725,1293,0.22885572139303484,0.2173199040359604
07-25,0725,1461,0.23589743589743592,0.22667221833008333
07-25,0725,1503,0.23232323232323232,0.22940018852905633
