day,k_veh_per_km,tt_obs_min,tt_pred_agg_min
07-25,6.09720176730486,0.20324005891016197,0.197695409491596
07-25,5.824817518248175,0.20145985401459857,0.19762760293945644
07-25,6.244541484716157,0.20087336244541487,0.19773452829590776
07-25,5.450516986706056,0.2038404726735598,0.1975436155852687
07-25,4.177777777777778,0.20444444444444446,0.19732993872379123
07-25,5.205882352941177,0.20294117647058826,0.19749421595746047
07-25,3.899556868537666,0.2038404726735598,0.19729642140690487
07-25,4.763358778625954,0.21068702290076338,0.19741526992219088
07-25,4.435975609756098,0.2103658536585366,0.19736500334802898
07-25,3.7946428571428568,0.20535714285714285,0.19728488043690323
07-25,3.264705882352941,0.20294117647058826,0.19723516047564904
07-25,3.4545454545454546,0.2090909090909091,0.19725138391523186
07-25,2.747747747747748,0.20720720720720726,0.19719918780688322
07-25,3.0676691729323307,0.2075187969924812,0.1972200840270302
07-25,3.6160714285714284,0.20535714285714285,0.19726656295228054
07-25,3.1981981981981984,0.20720720720720726,0.19722987545831655
07-25,2.6893353941267386,0.2132921174652241,0.1971958249193282
07-25,2.727272727272727,0.2090909090909091,0.19719799367818353
07-25,2.227272727272727,0.2090909090909091,0.19717372267568214
07-25,2.325227963525836,0.209726443768997,0.19717777288328442
07-25,2.6627218934911245,0.20414201183431954,0.19719433715296322
07-25,2.564885496183206,0.21068702290076338,0.1971891021370901
07-25,2.4884792626728114,0.21198156682027652,0.19718526436344572
07-25,1.82648401826484,0.2100456621004566,0.1971603418280098
07-25,1.6946564885496183,0.21068702290076338,0.1971569648653694
07-25,1.9790104947526237,0.20689655172413793,0.1971648581156609
07-25,1.9523809523809523,0.21904761904761905,0.19716402063279276
07-25,1.8807339449541283,0.21100917431192662,0.19716187109895764
07-25,2.3660714285714284,0.20535714285714285,0.19717955874827378
07-25,1.5981735159817352,0.2100456621004566,0.19715478405292924
07-25,1.4176829268292683,0.2103658536585366,0.1971513183989877
07-25,1.889055472263868,0.20689655172413793,0.1971621131006445
07-25,1.9664634146341464,0.2103658536585366,0.1971644608816702
07-25,2.1719457013574663,0.2081447963800905,0.19717157674926886
07-25,1.9672131147540985,0.20566318926974667,0.19716448448455182
07-25,1.40695915279879,0.20877458396369142,0.1971511363382077
07-25,1.751497005988024,0.2065868263473054,0.19715836320835048
07-25,1.6363636363636365,0.2090909090909091,0.19715561882884935
07-25,2.373134328358209,0.20597014925373136,0.1971798734711825
07-25,2.174556213017752,0.20414201183431954,0.1971716757462089
07-25,1.9730941704035874,0.20627802690582958,0.19716467022091008
07-25,2.235469448584203,0.20566318926974667,0.19717404919566708
07-25,2.314540059347181,0.20474777448071216,0.1971773150940309
07-25,2.5,0.20535714285714285,0.1971858292212897
07-25,2.5301204819277108,0.2078313253012048,0.19718732910075518
07-25,2.5637181409295353,0.20689655172413793,0.19718904186787636
07-25,2.760180995475113,0.2081447963800905,0.19719992107594242
07-25,2.927927927927928,0.20720720720720726,0.19721042864092747
07-25,2.8421052631578947,0.2075187969924812,0.19720490844615443
07-25,3.6363636363636362,0.2090909090909091,0.1972685620426257
07-25,3.5320417287630406,0.20566318926974667,0.19725850513127108
07-25,4.746268656716418,0.20597014925373136,0.19741247939867207
07-25,4.649776453055142,0.20566318926974667,0.197397072547628
07-25,4.086826347305389,0.2065868263473054,0.19731850662566963
07-25,5.458579881656806,0.20414201183431954,0.1975453162349187
07-25,5.614035087719298,0.20175438596491227,0.19757902948909917
07-25,5.314787701317716,0.2020497803806735,0.19751568560762747
07-25,7.705627705627706,0.19913419913419916,0.1982234185051977
07-25,7.666174298375184,0.2038404726735598,0.19820764490321297
07-25,7.9714285714285715,0.19714285714285715,0.19833366368979202
